# {"t_start": 1581544517.6391082, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,2.080747
0.0,127,2.222188
6.0,401,2.808013
3.0,252,3.093146
0.0,127,3.237381
3.0,234,3.507892
0.0,127,3.657483
2.0,185,3.875918
1.0,157,4.059456
3.0,279,4.38688
0.0,129,4.546633
1.0,155,4.729527
0.0,127,4.883712
0.0,129,5.03658
0.0,125,5.192265
0.0,127,5.351211
0.0,127,5.507669
0.0,127,5.665922
0.0,127,5.831055
0.0,127,5.992743
3.0,232,6.284761
0.0,125,6.447931
0.0,127,6.610152
9.0,405,7.123795
2.0,202,7.381637
5.0,349,7.825661
0.0,127,7.992331
3.0,272,8.340868
2.0,202,8.609579
6.0,401,9.136133
0.0,127,9.31397
0.0,125,9.478532
0.0,129,9.649494
2.0,202,9.921118
0.0,127,10.090656
0.0,129,10.27076
0.0,127,10.443602
0.0,127,10.618252
4.0,299,11.043268
2.0,202,11.336546
0.0,125,11.528418
0.0,129,11.730747
0.0,127,11.913064
5.0,329,12.403007
0.0,129,12.603244
5.0,350,13.143303
2.0,202,13.441967
0.0,125,13.627364
1.0,159,13.868792
1.0,153,14.099647
6.0,398,14.712957
5.0,350,15.313538
0.0,129,15.598417
0.0,129,15.889434
0.0,127,16.174085
0.0,129,16.460158
0.0,127,16.756639
0.0,129,17.07027
0.0,129,17.383358
1.0,173,29.859933
1.0,178,41.314255
3.0,248,57.199422
4.0,279,75.64792
4.0,303,96.019299
2.0,185,108.077138
1.0,157,118.152267
1.0,175,129.186251
1.0,155,139.342442
0.0,129,147.327725
0.0,123,154.950191
2.0,202,168.804613
1.0,155,179.320573
0.0,127,187.014402
1.0,175,198.260857
2.0,186,210.174213
0.0,129,218.128314
2.0,202,231.066167
1.0,173,242.431915
1.0,175,253.705259
4.0,297,273.530223
1.0,170,284.54099
0.0,125,292.285536
3.0,235,310.450785
2.0,223,324.845824
4.0,282,343.941897
2.0,199,357.033368
1.0,155,367.41506
3.0,272,385.622501
0.0,129,393.693072
1.0,174,404.677751
1.0,175,415.831676
2.0,203,428.928486
1.0,175,440.788032
1.0,158,450.739547
0.0,129,458.67927
1.0,155,468.387395
3.0,249,484.745153
1.0,155,495.366056
2.0,220,512.568067
0.0,127,521.45879
2.0,224,536.952891
2.0,204,550.090204
1.0,157,560.018943
9.0,404,586.776509
0.0,129,594.885254
0.0,125,602.581181
4.0,284,621.395949
2.0,202,634.957339
2.0,202,649.391003
0.0,127,657.570304
1.0,155,667.754063
0.0,129,676.036492
0.0,125,684.204981
0.0,129,693.59321
1.0,173,705.295615
0.0,129,714.441763
1.0,173,725.603709
5.0,329,748.056226
